user_id,item_id
4,450
4,658
4,8017
4,8327
4,4369
4,8213
4,307
4,5888
4,8323
4,647
4,7791
4,7711
4,389
4,1273
4,1041
4,421
4,8324
4,90
4,884
4,3764
6,450
6,2707
6,7652
6,1035
6,371
6,8323
6,432
6,647
6,368
6,3684
6,3660
6,5238
6,8017
6,1576
6,1004
6,2333
6,4369
6,2092
6,859
6,307
7,39
7,7914
7,1576
7,4369
7,1052
7,1730
7,5888
7,302
7,1179
7,5045
7,2707
7,532
7,658
7,859
7,551
7,371
7,140
7,432
7,1043
7,8338
32,4369
32,39
32,288
32,371
32,5785
32,368
32,366
32,859
32,8429
32,450
32,650
32,8324
32,647
32,932
32,678
32,735
32,140
32,2526
32,5640
32,658
34,5238
34,8323
34,39
34,1043
34,5888
34,8462
34,114
34,260
34,8454
34,8354
34,7914
34,1881
34,725
34,288
34,450
34,647
34,140
34,1325
34,4660
34,8017
35,673
35,391
35,5889
35,5785
35,8341
35,1273
35,450
35,39
35,5888
35,261
35,1043
35,8324
35,8426
35,3815
35,1242
35,5442
35,4369
35,8270
35,7914
35,1550
39,8205
39,1709
39,8363
39,5899
39,2450
39,2707
39,368
39,6384
39,8258
39,8270
39,658
39,140
39,1375
39,856
39,1525
39,8243
39,564
39,1041
39,333
39,4359
40,1988
40,5889
40,4136
40,140
40,7914
40,1880
40,1273
40,5378
40,8258
40,2707
40,39
40,1224
40,650
40,358
40,421
40,1325
40,1866
40,539
40,753
40,673
41,2505
41,8363
41,859
41,4141
41,6929
41,1844
41,594
41,5445
41,7914
41,1115
41,506
41,2150
41,140
41,39
41,4877
41,7307
41,3047
41,3903
41,779
41,7650
52,5889
52,6929
52,650
52,7914
52,6378
52,8258
52,658
52,4084
52,647
52,2312
52,3201
52,974
52,673
52,1733
52,859
52,1043
52,725
52,5370
52,632
52,117
54,5889
54,1525
54,7914
54,4438
54,753
54,2707
54,140
54,650
54,4141
54,1043
54,1325
54,974
54,333
54,859
54,39
54,662
54,1080
54,8213
54,2902
54,1576
62,140
62,8205
62,8258
62,8213
62,2846
62,1325
62,8429
62,368
62,3766
62,5972
62,3
62,602
62,2909
62,1759
62,748
62,389
62,4250
62,3471
62,8379
62,3201
70,594
70,7431
70,5445
70,8508
70,8363
70,8506
70,5889
70,8205
70,2071
70,2707
70,1143
70,4185
70,3766
70,1207
70,2367
70,7868
70,2902
70,2427
70,1080
70,4537
80,3471
80,5889
80,8205
80,615
80,5442
80,2602
80,119
80,39
80,2502
80,1043
80,673
80,7914
80,1325
80,658
80,748
80,8431
80,55
80,1985
80,5888
80,725
85,8363
85,2902
85,5445
85,1733
85,5108
85,7914
85,8258
85,5453
85,4141
85,4084
85,1759
85,678
85,2145
85,368
85,8218
85,468
85,3624
85,6378
85,554
85,1289
86,6416
86,3764
86,673
86,6145
86,8358
86,5888
86,2189
86,7914
86,3167
86,434
86,4343
86,368
86,1684
86,1881
86,140
86,650
86,36
86,916
86,753
86,647
88,1558
88,8327
88,535
88,1011
88,8353
88,5888
88,640
88,5690
88,140
88,5442
88,450
88,8379
88,8293
88,5785
88,89
88,7914
88,8358
88,735
88,8341
88,84
95,859
95,8258
95,7914
95,647
95,3
95,673
95,658
95,459
95,1662
95,828
95,1733
95,479
95,753
95,1032
95,6102
95,5785
95,745
95,0
95,1675
95,636
98,8363
98,1416
98,673
98,39
98,2386
98,1242
98,368
98,1150
98,961
98,2707
98,859
98,8225
98,658
98,4456
98,8484
98,741
98,1662
98,481
98,432
98,2433
109,5889
109,7914
109,140
109,1733
109,2145
109,39
109,753
109,1653
109,8429
109,8309
109,415
109,8213
109,1325
109,5343
109,4578
109,2902
109,2427
109,4877
109,725
109,368
110,39
110,859
110,140
110,647
110,8258
110,3201
110,2395
110,1675
110,741
110,650
110,2130
110,368
110,459
110,2902
110,3526
110,1043
110,8243
110,4246
110,5335
110,6863
114,5889
114,8363
114,8205
114,43
114,450
114,1018
114,1792
114,307
114,1272
114,1679
114,910
114,302
114,673
114,1576
114,562
114,5888
114,3480
114,4084
114,3404
114,415
119,5889
119,8363
119,33
119,8205
119,1275
119,1127
119,140
119,1042
119,6378
119,8367
119,39
119,8466
119,2450
119,5445
119,745
119,459
119,506
119,2427
119,8236
119,5690
124,7914
124,39
124,140
124,8258
124,859
124,2707
124,5716
124,1991
124,974
124,53
124,2427
124,5155
124,939
124,673
124,2149
124,421
124,1662
124,8213
124,745
124,8429
128,838
128,1180
128,8363
128,2427
128,4456
