user_id,item_id
4,2161
4,483
4,4690
4,1404
4,1710
4,5119
4,6102
4,1394
4,5795
4,2868
4,12
4,8017
4,3764
4,8323
4,8324
4,658
4,8341
4,450
4,2020
4,2703
6,1404
6,5795
6,12
6,483
6,6102
6,4690
6,5119
6,1394
6,1710
6,2868
6,2161
6,8017
6,8323
6,8388
6,8324
6,735
6,7652
6,1662
6,450
6,8341
7,2909
7,2912
7,2041
7,2917
7,7695
7,3240
7,3767
7,5233
7,2734
7,711
7,2161
7,1216
7,5834
7,6738
7,6557
7,1622
7,1045
7,1805
7,1088
7,915
32,1404
32,2161
32,2868
32,4690
32,12
32,1710
32,1394
32,6102
32,5795
32,5119
32,5785
32,4369
32,735
32,8324
32,1662
32,1180
32,371
32,1028
32,261
32,3764
34,1404
34,1394
34,6102
34,4690
34,2161
34,2868
34,5119
34,5795
34,1710
34,12
34,8017
34,8323
34,8462
34,5238
34,1881
34,288
34,8398
34,7719
34,260
34,725
35,5795
35,12
35,1710
35,2161
35,2868
35,1404
35,3815
35,8324
35,5785
35,8341
35,261
35,1236
35,673
35,2037
35,1043
35,915
35,3203
35,391
35,1224
35,8426
39,1710
39,12
39,1394
39,4690
39,2868
39,5119
39,6102
39,1404
39,2161
39,483
39,5795
39,8270
39,8398
39,1709
39,4359
39,333
39,759
39,1028
39,1121
39,1375
40,12
40,2868
40,483
40,2161
40,1404
40,5795
40,1880
40,333
40,4136
40,7719
40,691
40,358
40,1988
40,8270
40,1087
40,1224
40,7791
40,1866
40,1151
40,4438
41,6102
41,2868
41,12
41,1710
41,5119
41,4690
41,1394
41,5795
41,1404
41,2161
41,2505
41,1844
41,1115
41,4141
41,8270
41,6929
41,594
41,7307
41,3903
41,506
52,1404
52,6102
52,2868
52,5795
52,5119
52,12
52,2161
52,6929
52,6378
52,5889
52,4361
52,2839
52,983
52,785
52,1266
52,8472
52,1180
52,1126
52,2145
52,974
54,12
54,2868
54,5795
54,483
54,2161
54,1404
54,4438
54,1525
54,1866
54,333
54,8270
54,1596
54,1880
54,4141
54,3624
54,6612
54,1080
54,1867
54,140
54,8472
62,1394
62,2161
62,5119
62,2868
62,12
62,4690
62,5795
62,6102
62,1710
62,1404
62,8429
62,3766
62,3471
62,2041
62,140
62,333
62,244
62,401
62,8213
62,602
70,4690
70,2161
70,1404
70,5795
70,2868
70,594
70,7431
70,8508
70,7868
70,2071
70,4185
70,784
70,1653
70,1017
70,3766
70,827
70,1069
70,2041
70,2427
70,506
80,1404
80,5795
80,3471
80,2602
80,703
80,8508
80,5442
80,615
80,7650
80,7914
80,119
80,2502
80,1325
80,434
80,55
80,7603
80,583
80,658
80,4558
80,1841
85,12
85,483
85,1710
85,5445
85,1404
85,5119
85,2161
85,4690
85,1394
85,8363
85,6102
85,2868
85,5108
85,4578
85,4141
85,3764
85,3072
85,2189
85,5453
85,1733
86,2161
86,1394
86,4690
86,1404
86,2868
86,5795
86,6102
86,5119
86,1710
86,12
86,6398
86,3764
86,1881
86,2189
86,1841
86,520
86,434
86,6145
86,827
86,2839
88,1394
88,1404
88,483
88,2161
88,2868
88,5795
88,4690
88,5119
88,1710
88,12
88,89
88,735
88,5785
88,8341
88,1558
88,640
88,1053
88,261
88,3328
88,8379
95,2161
95,1710
95,1394
95,5795
95,4690
95,12
95,483
95,5119
95,6102
95,2868
95,1404
95,1662
95,479
95,5785
