user_id,item_id
4,8017
4,3764
4,8323
4,8324
4,5785
4,2020
4,8341
4,2703
4,1403
4,741
4,658
4,450
4,5149
4,1043
4,532
4,1052
4,261
4,7791
4,482
4,884
6,8017
6,8323
6,8324
6,8388
6,735
6,7652
6,3764
6,2189
6,5785
6,8341
6,1180
6,371
6,1035
6,1493
6,1224
6,450
6,1576
6,333
6,1662
6,675
7,1052
7,1730
7,1576
7,532
7,4690
7,8324
7,4369
7,324
7,8341
7,5785
7,2189
7,1151
7,3815
7,3764
7,759
7,261
7,302
7,5045
7,1179
7,1043
32,5785
32,735
32,4369
32,8324
32,1180
32,1028
32,371
32,3764
32,2189
32,1662
32,261
32,2526
32,1236
32,4566
32,6767
32,8017
32,1102
32,288
32,5468
32,401
34,8017
34,8323
34,8462
34,1881
34,5238
34,8398
34,288
34,7719
34,260
34,1894
34,4388
34,725
34,114
34,735
34,1043
34,8324
34,785
34,1662
34,8341
34,5785
35,3815
35,8324
35,5785
35,8341
35,261
35,1236
35,2037
35,1043
35,673
35,3203
35,915
35,1224
35,8426
35,391
35,815
35,1273
35,5888
35,6612
35,450
35,5442
39,8270
39,8398
39,333
39,4359
39,759
39,1709
39,1028
39,1121
39,1375
39,6248
39,1525
39,1413
39,2450
39,8205
39,8462
39,5899
39,1894
39,4438
39,856
39,1710
40,1880
40,333
40,7719
40,691
40,4136
40,358
40,7791
40,1988
40,1087
40,1224
40,1866
40,1151
40,4438
40,8467
40,8270
40,5378
40,939
40,1525
40,2383
40,1342
41,2505
41,1844
41,1115
41,4141
41,6929
41,594
41,7307
41,3903
41,506
41,1841
41,7650
41,8017
41,6378
41,479
41,983
41,8323
41,4456
41,8462
41,8270
41,957
52,6929
52,6378
52,5889
52,4361
52,2839
52,8472
52,983
52,785
52,1266
52,1180
52,1126
52,2145
52,545
52,6612
52,974
52,5370
52,3627
52,4084
52,1697
52,662
54,4438
54,1866
54,1525
54,333
54,1596
54,1880
54,3624
54,6612
54,4141
54,1867
54,1080
54,8472
54,8270
54,140
54,1043
54,1325
54,1032
54,7791
54,8311
54,1081
62,8429
62,3471
62,3766
62,140
62,2041
62,401
62,602
62,2602
62,4934
62,333
62,1087
62,6378
62,7791
62,8213
62,787
62,1325
62,974
62,244
62,5540
62,830
70,594
70,7431
70,8508
70,7868
70,2071
70,784
70,3766
70,1017
70,827
70,1653
70,4185
70,2041
70,506
70,2427
70,1525
70,4246
70,4991
70,884
70,1143
70,2383
80,3471
80,2602
80,703
80,8508
80,7650
80,7914
80,5442
80,615
80,119
80,1325
80,7603
80,583
80,479
80,2317
80,2030
80,3764
80,5149
80,1778
80,7105
80,2502
85,5108
85,3764
85,2189
85,4578
85,2020
85,3072
85,4141
85,5453
85,3254
85,706
85,1115
85,1733
85,3624
85,1180
85,1759
85,468
85,8218
85,8363
85,1028
85,5468
86,6398
86,1881
86,3764
86,2189
86,520
86,434
86,1841
86,6145
86,827
86,2839
86,8477
86,6416
86,1684
86,741
86,89
86,4361
86,1662
86,5519
86,5640
86,368
88,89
88,735
88,5785
88,8341
88,1558
88,640
88,261
88,1053
88,3328
88,482
88,8379
88,5690
88,1881
88,8017
88,535
88,5442
88,1236
88,1496
88,2560
88,8220
95,1662
95,6102
95,479
95,5785
95,1180
95,8324
95,1032
95,3
95,3766
95,1635
95,333
95,7719
95,2041
95,6378
95,983
95,4456
95,2693
95,7791
95,3393
95,5540
98,1662
98,8225
98,89
98,1416
98,3393
98,5540
98,741
98,2386
98,961
98,1053
98,447
98,8270
98,481
98,662
98,291
98,1010
98,8484
98,7791
98,1150
98,333
109,8429
109,3766
109,4578
109,1069
109,8213
109,1224
109,333
109,252
109,6987
109,1083
109,1733
109,7719
109,5889
109,974
109,6248
109,1325
109,2310
109,1032
109,4877
109,6612
110,741
110,291
110,3815
110,482
110,7768
110,8379
110,6987
110,7603
110,3120
110,8243
110,2130
110,6612
110,1254
110,575
110,6863
110,5335
110,4246
110,778
110,1662
110,973
114,8270
114,3815
114,3764
114,2189
114,43
114,1662
114,999
114,5889
114,1028
114,5785
114,8205
114,1002
114,1576
114,1177
114,5374
114,4330
114,3767
114,2020
114,3404
114,1867
119,4690
119,506
119,8017
119,1083
119,6378
119,1275
119,3903
119,8323
119,594
119,8462
119,8419
119,5889
119,1042
119,1087
119,5793
119,4558
119,333
119,89
119,2501
119,8367
124,1662
124,8324
124,5155
124,939
124,1087
124,1841
124,3214
124,6378
124,974
124,2149
124,5540
124,909
124,5716
124,735
124,1151
124,479
124,1120
124,4438
124,691
124,3766
128,1180
128,3766
128,6378
128,2505
128,1069
128,838
128,5785
128,4456
128,2839
128,924
128,2071
128,1653
128,974
128,8402
128,2427
128,1052
128,8485
128,447
128,1053
128,2540
137,3625
137,5889
137,2505
137,205
137,2333
137,1053
137,6102
137,1028
137,5238
137,3684
137,1321
137,8398
137,4246
137,1867
137,1576
137,1881
137,1665
137,492
137,2501
137,827
140,8398
140,1180
140,1894
140,5889
140,2895
140,5881
140,3120
140,4361
140,7768
140,2505
140,5468
140,990
140,7868
140,2395
140,909
140,416
140,7650
140,8205
140,1126
140,3328
144,1710
144,5785
144,735
144,8429
144,199
144,89
144,8341
144,8462
144,576
144,2067
144,2320
144,8017
144,551
144,764
144,261
144,8278
144,1236
144,352
144,8323
144,3328
147,8508
147,3051
147,7868
147,5108
147,2041
147,1180
147,8452
147,4566
147,827
147,7431
147,1493
147,8017
147,1069
147,8323
147,8243
147,1841
147,8402
147,2505
147,939
147,5793
152,3903
152,8508
152,4318
152,59
152,7868
152,1087
152,6182
152,8225
152,8243
152,6987
152,5889
152,6612
152,1010
152,662
152,954
152,1697
152,1151
152,1867
152,2895
152,1342
158,6929
158,5793
158,7603
158,5881
158,990
158,2367
158,785
158,7074
158,2317
158,2902
158,827
158,244
158,22
158,4031
158,6612
158,8205
158,2867
158,1330
158,695
158,2823
161,447
161,1053
161,2813
161,3383
161,8485
161,4700
161,662
161,438
161,506
161,421
161,1325
161,827
161,583
161,2317
161,5149
161,3764
161,1778
161,2030
161,7105
161,2189
167,8017
167,8323
167,8388
167,5374
167,324
167,3471
167,5785
167,1493
167,838
167,3254
167,706
167,90
167,5889
167,498
167,466
167,8398
167,4369
167,999
167,5155
167,8419
173,8323
173,3903
173,532
173,8429
173,8508
173,6188
173,6115
173,6102
173,7791
173,8213
173,8017
173,2310
173,7868
173,4388
173,1041
173,8462
173,2037
173,785
173,1945
173,662
176,5881
176,990
176,6378
176,983
176,5889
176,1325
176,244
176,22
176,7650
176,974
176,6612
176,4031
176,941
176,662
176,3766
176,1403
176,8212
176,1841
176,2895
176,8205
182,3764
182,2189
182,718
182,4920
182,741
182,999
182,466
182,4566
182,1596
182,8419
182,5622
182,2281
182,2375
182,520
182,1004
182,7300
182,884
182,6987
182,1837
182,2020
194,8429
194,5889
194,333
194,1841
194,5793
194,8213
194,2839
194,244
194,741
194,3766
194,2310
194,2041
194,89
194,983
194,6248
194,4558
194,3120
194,8017
194,662
194,3393
195,2037
195,815
195,391
195,4369
195,371
195,1179
195,1035
195,1004
195,7286
195,5814
195,2502
195,6202
195,5442
195,5644
195,2999
195,4029
195,1815
195,8236
195,1311
195,1605
197,1841
197,646
197,2662
197,6378
197,3628
197,3051
197,1682
197,2644
197,5889
197,941
197,3766
197,983
197,1403
197,974
197,8212
197,2041
197,6987
197,4566
197,8017
197,1489
198,1083
198,1945
198,191
198,8485
198,447
198,1053
198,662
198,990
198,8402
198,2813
198,22
198,506
198,1180
198,3120
198,5640
198,760
198,4246
198,2427
198,4991
