user_id,item_id
4,1675
4,450
4,539
4,647
4,658
4,8327
4,8213
4,662
4,421
4,827
4,1816
4,5888
4,530
4,1043
4,4369
4,745
4,389
4,307
4,90
4,884
6,650
6,2707
6,748
6,859
6,1325
6,1035
6,450
6,698
6,366
6,647
6,432
6,7652
6,421
6,5238
6,1675
6,1072
6,307
6,368
6,753
6,6416
7,39
7,2707
7,7914
7,698
7,1710
7,1325
7,1576
7,4369
7,7689
7,859
7,5888
7,1675
7,5165
7,302
7,366
7,531
7,288
7,1043
7,459
7,5045
32,650
32,4369
32,39
32,288
32,859
32,1325
32,366
32,647
32,371
32,698
32,3734
32,753
32,974
32,140
32,3580
32,662
32,368
32,8429
32,2693
32,705
34,5238
34,1325
34,39
34,1043
34,753
34,859
34,1072
34,5888
34,275
34,459
34,1816
34,698
34,1675
34,1985
34,647
34,421
34,8454
34,8354
34,140
34,7914
35,5889
35,673
35,391
35,650
35,1710
35,2707
35,1273
35,39
35,1043
35,8425
35,7914
35,450
35,1325
35,1242
35,5888
35,8426
35,7689
35,8270
35,5442
35,4369
39,8363
39,8205
39,650
39,2707
39,1675
39,1709
39,8258
39,5899
39,2450
39,6384
39,698
39,1325
39,368
39,974
39,8323
39,859
39,658
39,459
39,492
39,8243
40,5889
40,650
40,2707
40,1325
40,1793
40,8270
40,140
40,859
40,7914
40,8258
40,1273
40,39
40,1988
40,421
40,1816
40,2073
40,662
40,698
40,1671
40,753
41,8363
41,859
41,8110
41,698
41,1325
41,39
41,506
41,47
41,140
41,7914
41,2693
41,2598
41,3047
41,2713
41,8258
41,1816
41,4046
41,3580
41,563
41,662
52,5889
52,650
52,859
52,1325
52,974
52,2872
52,753
52,647
52,7914
52,8258
52,1816
52,698
52,6929
52,539
52,1665
52,8110
52,140
52,1043
52,2312
52,2839
54,650
54,5889
54,2707
54,1325
54,8258
54,974
54,647
54,859
54,7914
54,753
54,698
54,140
54,1043
54,39
54,1816
54,662
54,673
54,8329
54,6772
54,3580
62,8205
62,1325
62,698
62,140
62,2846
62,8258
62,5563
62,974
62,1816
62,5972
62,459
62,8213
62,47
62,647
62,5165
62,5721
62,1675
62,1665
62,748
62,2868
70,8363
70,2707
70,5445
70,5889
70,650
70,827
70,2823
70,8506
70,8205
70,715
70,2867
70,459
70,2433
70,753
70,698
70,3580
70,4537
70,2839
70,2912
70,3766
80,5889
80,8205
80,1325
80,650
80,39
80,1043
80,7914
80,615
80,5442
80,673
80,2707
80,1072
80,1675
80,748
80,698
80,3471
80,119
80,2502
80,704
80,5165
85,8363
85,2598
85,2902
85,5445
85,1325
85,7914
85,698
85,2427
85,8258
85,366
85,1665
85,974
85,1733
85,1816
85,745
85,4084
85,4537
85,8402
85,6378
85,1675
86,650
86,6416
86,673
86,1325
86,859
86,8521
86,8358
86,5888
86,647
86,698
86,7914
86,753
86,459
86,1675
86,1816
86,1043
86,6145
86,3167
86,974
86,140
88,650
88,2707
88,1558
88,8327
88,8353
88,5888
88,6378
88,459
88,1325
88,8358
88,140
88,421
88,1011
88,535
88,7914
88,450
88,2684
88,84
88,36
88,753
95,698
95,859
95,753
95,1816
95,647
95,459
95,7914
95,8258
95,725
95,47
95,8110
95,2839
95,1236
95,741
95,8521
95,673
95,662
95,745
95,5165
95,2693
98,8363
98,3803
98,673
98,2707
98,1242
98,39
98,1416
98,859
98,1816
98,2433
98,1325
98,368
98,810
