user_id,item_id
4,450
4,8327
4,658
4,1675
4,539
4,8213
4,647
4,4369
4,662
4,389
4,5888
4,827
4,421
4,307
4,1816
4,475
4,6378
4,884
4,745
4,1043
6,650
6,2707
6,1035
6,450
6,859
6,748
6,647
6,1325
6,432
6,366
6,7652
6,371
6,368
6,698
6,5238
6,3684
6,753
6,3580
6,807
6,307
7,39
7,7914
7,2707
7,698
7,1325
7,1576
7,4369
7,859
7,5888
7,288
7,302
7,140
7,531
7,5165
7,432
7,366
7,1675
7,6117
7,5045
7,658
32,4369
32,650
32,39
32,288
32,859
32,366
32,1325
32,647
32,371
32,140
32,368
32,8429
32,679
32,698
32,3734
32,1018
32,753
32,974
32,678
32,705
34,5238
34,39
34,1325
34,1043
34,8454
34,8354
34,753
34,859
34,5888
34,30
34,140
34,1675
34,647
34,7914
34,459
34,1072
34,1665
34,8358
34,974
34,4660
35,5889
35,673
35,391
35,650
35,39
35,1273
35,2707
35,8425
35,450
35,1242
35,7914
35,8426
35,1325
35,5888
35,530
35,8270
35,7307
35,1043
35,5442
35,4369
39,8363
39,8205
39,650
39,2707
39,1675
39,5899
39,2450
39,1709
39,6384
39,8258
39,368
39,1325
39,658
39,8243
39,8477
39,539
39,698
39,1041
39,859
39,3133
40,5889
40,650
40,2707
40,1325
40,140
40,7914
40,859
40,753
40,1988
40,39
40,8258
40,1273
40,1671
40,1289
40,662
40,421
40,539
40,459
40,2515
40,701
41,8363
41,859
41,8110
41,39
41,1325
41,2713
41,2150
41,140
41,698
41,7914
41,3047
41,3519
41,32
41,2515
41,2598
41,8258
41,662
41,2693
41,4877
41,3580
52,5889
52,650
52,859
52,974
52,1325
52,7914
52,8258
52,647
52,2812
52,753
52,698
52,8110
52,1043
52,539
52,725
52,3201
52,4084
52,673
52,1733
52,140
54,5889
54,650
54,2707
54,1325
54,753
54,974
54,7914
54,647
54,859
54,140
54,39
54,1043
54,698
54,662
54,8258
54,6772
54,2515
54,725
54,658
54,1665
62,8205
62,5972
62,1325
62,140
62,698
62,8258
62,8213
62,459
62,2846
62,1816
62,5165
62,47
62,748
62,679
62,324
62,647
62,368
62,784
62,974
62,1675
70,8363
70,2707
70,5445
70,5889
70,8506
70,8205
70,650
70,2823
70,459
70,4537
70,3268
70,6021
70,2867
70,2367
70,4084
70,1207
70,3766
70,1143
70,698
70,753
80,5889
80,8205
80,1325
80,650
80,39
80,5442
80,615
80,1043
80,673
80,7914
80,2707
80,119
80,2502
80,509
80,1675
80,698
80,725
80,1985
80,748
80,0
85,8363
85,2598
85,2902
85,5445
85,7914
85,1325
85,8258
85,8438
85,1733
85,4084
85,698
85,366
85,2427
85,1665
85,745
85,1675
85,4537
85,8424
85,974
85,2713
86,650
86,673
86,6416
86,8358
86,1325
86,859
86,916
86,7914
86,5888
86,647
86,8521
86,3167
86,698
86,753
86,1675
86,6145
86,974
86,459
86,140
86,4343
88,8327
88,1558
88,2684
88,650
88,2707
88,30
88,8353
88,5888
88,8358
88,140
88,6378
88,1011
88,1325
88,535
88,2433
88,84
88,36
88,7914
88,459
88,450
95,698
95,859
95,753
95,1816
95,459
95,7914
95,647
95,8258
95,725
95,47
95,658
95,539
95,673
95,1675
95,1236
95,745
95,1733
95,1991
95,8429
95,662
98,8363
98,2433
98,1242
98,2707
98,673
98,39
98,1416
98,859
98,432
98,1325
98,1150
98,368
98,1675
98,658
98,4456
98,3133
98,7914
98,2386
98,1134
98,725
109,5889
109,1325
109,7914
109,753
109,140
109,39
109,974
109,725
109,2598
109,1733
109,2145
109,32
109,1816
109,3768
109,47
109,1653
109,8429
109,415
109,8213
109,2909
110,650
110,859
110,39
110,1325
110,647
110,974
110,459
110,140
110,698
110,8258
110,1675
110,3201
110,1043
110,4084
110,5581
110,3624
110,2395
110,2902
110,1072
110,3526
114,8363
114,5889
114,8205
114,1018
114,1325
114,539
114,43
114,1792
114,1289
114,450
114,1675
114,910
114,366
